site_a,site_b,t,n_a,n_b,sum_fc,n_loci
Arlington-2015,Arlington-2019,8,4,7,448941.9385,1971428
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,325594.3517,1929954
Alsum18-2019,Alsum18-2023,8,7,6,337555.3273,1825004
Alsum59-2019,Alsum59-2023,8,6,7,337341.2665,1850557
Arlington-2019,Arlington-2023,8,7,7,304519.0577,1890012
XMASBig-2019,XMASBig-2023,8,5,5,534204.6921,2435007
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,311326.3941,1937788
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,341989.7916,1937666
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,323796.1928,1974535
Wysocki1129-2019,Wysocki1129-2023,8,7,7,332787.9875,1955098
Arlington-2015,Arlington-2023,16,4,7,436199.0279,1958569
C5-2015,C5-2023,16,7,7,324595.117,1943642
C44-L15-2015,C44-L15-2023,16,7,7,304046.2847,1917667
GarrisonNE-2015,GarrisonNE-2023,16,7,7,323947.0397,1902470
H10-2015,H10-2023,16,7,7,299953.3467,1888516
H15-2015,H15-2023,16,8,6,330339.0948,1872134
H41-2015,H41-2023,16,7,4,425176.8933,1901749
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,530868.4943,2469932
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,319862.5749,1963353
