bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,r2_17,r2_18,r2_19,r2_20,r2_21,r2_22,r2_23,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23
1,2,1.41421,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,178,133.417,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,316,237.167,0.213258,0.148272,0.242295,0.434866,0.172435,0.202546,0.187999,0.190978,0.162923,0.143319,0.171267,0.137414,0.426901,0.183092,0.155156,0.285542,0.162105,0.252536,0.288658,0.148622,0.142319,0.187414,0.176557,0.204728,97,134,87,58,136,116,113,128,116,130,107,122,57,117,121,89,147,88,101,124,106,128,131,108
316,562,421.417,0.184247,0.163905,0.285045,0.449355,0.171558,0.194468,0.161509,0.180688,0.215257,0.138521,0.216856,0.140466,0.443376,0.196372,0.177742,0.234477,0.150714,0.283591,0.242199,0.180222,0.189469,0.180138,0.167206,0.191298,327,473,327,181,442,426,421,441,426,469,394,465,208,415,458,312,494,334,370,477,420,451,477,412
562,1000,749.667,0.181208,0.159153,0.255843,0.440705,0.152932,0.18516,0.174055,0.165373,0.19425,0.135089,0.165478,0.128559,0.417508,0.16486,0.173658,0.236465,0.13543,0.221336,0.222312,0.152567,0.176714,0.149652,0.147819,0.197991,419,621,427,208,608,549,548,564,561,674,552,607,264,549,643,422,683,458,500,637,556,615,634,526
1000,1778,1333.42,0.162499,0.136235,0.229577,0.381473,0.135666,0.15544,0.139427,0.143541,0.166063,0.12785,0.161611,0.113009,0.388228,0.154773,0.15249,0.224401,0.109475,0.22457,0.191857,0.137238,0.160419,0.132093,0.129582,0.177181,787,1201,798,427,1134,1049,1076,1090,1072,1230,1007,1189,504,1060,1172,838,1264,877,981,1221,1083,1166,1190,1016
1778,3162,2371.08,0.139544,0.129152,0.227827,0.400236,0.140327,0.141404,0.13977,0.141479,0.157509,0.116979,0.148408,0.100471,0.372489,0.144603,0.125247,0.202199,0.108866,0.222777,0.19263,0.125896,0.157225,0.123074,0.127006,0.165987,1374,2043,1377,754,1970,1804,1833,1877,1843,2108,1800,2038,874,1843,1997,1434,2229,1492,1646,2116,1900,2006,2056,1769
3162,5623,4216.62,0.121649,0.11481,0.215204,0.397034,0.122314,0.126585,0.12468,0.130342,0.135094,0.101117,0.137953,0.0824577,0.380226,0.136183,0.113461,0.196388,0.0955198,0.197484,0.167584,0.112154,0.143139,0.110824,0.120859,0.148205,2460,3727,2453,1296,3570,3290,3296,3406,3304,3828,3229,3718,1507,3321,3675,2583,4036,2624,3015,3821,3344,3673,3676,3170
