bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16
1,2,1.41421,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,178,133.417,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,316,237.167,0.174463,0.207684,0.188962,0.183852,0.142325,0.241702,0.194699,0.151172,0.203149,0.154278,0.178322,0.187628,0.135182,0.182562,0.229042,0.155378,0.204164,110,121,126,140,126,110,119,138,118,128,108,125,129,127,108,124,101
316,562,421.417,0.197913,0.191759,0.239097,0.190616,0.178213,0.205897,0.200429,0.192914,0.206728,0.173807,0.198835,0.179084,0.174798,0.185469,0.211344,0.191821,0.265552,403,392,406,448,449,425,437,425,402,443,408,430,436,446,407,410,345
562,1000,749.667,0.169855,0.194024,0.182215,0.148716,0.170369,0.183722,0.166469,0.156447,0.174921,0.150741,0.179848,0.151059,0.158993,0.158449,0.183763,0.145817,0.178044,545,528,539,622,612,551,605,608,548,600,543,600,593,588,569,592,496
1000,1778,1333.42,0.165769,0.172844,0.167485,0.133691,0.141256,0.157041,0.15194,0.135659,0.160258,0.149694,0.157847,0.146827,0.142021,0.132397,0.16032,0.152832,0.192215,1036,998,1045,1230,1166,1071,1110,1152,1037,1164,1054,1137,1144,1119,1072,1091,940
1778,3162,2371.08,0.146654,0.164532,0.168335,0.127999,0.133134,0.149022,0.145781,0.129497,0.140418,0.137584,0.152882,0.135375,0.121273,0.124988,0.156948,0.135366,0.171792,1724,1736,1791,2083,1994,1832,1950,1956,1816,1992,1826,1961,1973,1900,1853,1912,1553
3162,5623,4216.62,0.13338,0.150913,0.144083,0.122235,0.117418,0.140083,0.131066,0.123666,0.13864,0.120813,0.140147,0.123265,0.115617,0.11922,0.138106,0.12439,0.160172,3187,3127,3221,3733,3562,3311,3530,3539,3266,3525,3227,3513,3559,3445,3314,3424,2874
5623,10000,7498.67,0.126194,0.141106,0.135156,0.11262,0.111425,0.124409,0.126571,0.110717,0.126711,0.114899,0.132893,0.115606,0.107575,0.109199,0.123063,0.117242,0.142751,5588,5510,5766,6574,6240,5766,6121,6084,5690,6253,5726,6150,6260,5960,5768,6050,5024
10000,17783,13335.3,0.0825622,0.0808761,0.122939,0.0730905,0.148264,0.110529,0.168254,0.116375,0.0764332,0.0939292,0.280648,0.119233,0.164044,0.0392006,0.135491,0.058078,0.113805,4,4,7,13,7,6,10,9,8,11,8,9,8,10,9,9,1
17783,31623,23714,0.0987361,0.107393,0.131733,0.0655901,0.100953,0.111629,0.124617,0.132199,0.101764,0.138518,0.0664258,0.0928806,0.128017,0.162836,0.12139,0.0985287,0.0985468,42,40,38,38,42,39,37,39,38,37,37,39,42,38,37,40,42
31623,56234,42169.7,0.0791049,0.090202,0.0971465,0.100673,0.0899456,0.141594,0.114755,0.0895904,0.136134,0.0933961,0.125905,0.0986137,0.0813567,0.0723326,0.114305,0.11064,0.0937774,45,47,45,57,53,48,51,51,48,54,46,48,50,53,50,52,41
56234,100000,74989.3,0.0730338,0.101695,0.0992629,0.0729701,0.109299,0.0957609,0.125984,0.0632954,0.090917,0.10075,0.107237,0.0915819,0.0929757,0.0727476,0.0568969,0.0894813,0.0785659,84,79,86,105,99,87,97,94,85,96,86,94,100,96,87,92,78
100000,177828,133352,0.0809425,0.0900048,0.126599,0.0847068,0.0732707,0.0889711,0.110267,0.0898707,0.0691807,0.0900849,0.0988998,0.0838418,0.102882,0.0806724,0.0654091,0.0809995,0.0826046,142,141,143,162,157,147,155,160,141,160,146,160,157,145,139,152,130
177828,316228,237137,0.0883379,0.0756074,0.103027,0.0880451,0.0948071,0.0914371,0.114861,0.0857216,0.0662633,0.0953354,0.117556,0.083675,0.087701,0.0863223,0.0728336,0.0722661,0.0819965,214,208,223,260,243,223,237,239,223,240,224,242,251,236,211,232,192
316228,562341,421697,0.0801812,0.071794,0.0932754,0.0919341,0.0969282,0.0852668,0.134785,0.0753163,0.0703082,0.0893672,0.123044,0.0758468,0.0775247,0.0829104,0.0677004,0.0653932,0.0864416,291,279,292,339,329,287,320,320,288,318,289,312,335,310,287,312,260
562341,1000000,749894,0.0796147,0.0704547,0.0889262,0.0712485,0.0827411,0.0731966,0.100813,0.0926118,0.0811115,0.0845227,0.0990341,0.0714306,0.090517,0.0823523,0.0672696,0.0796903,0.0894234,214,193,202,253,247,199,222,217,205,213,200,225,235,241,216,240,203
