bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,r2_17,r2_18,r2_19,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19
1,2,1.41421,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,178,133.417,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,316,237.167,0.155575,0.192741,0.177934,0.210231,0.179846,0.205452,0.246394,0.204577,0.155767,0.173437,0.177732,0.259232,0.235195,0.17881,0.243556,0.152162,0.172857,0.178743,0.150209,0.187765,130,112,127,112,123,108,100,115,130,111,115,80,100,122,98,139,124,137,131,131
316,562,421.417,0.192343,0.2174,0.20866,0.184991,0.186385,0.222793,0.257268,0.214139,0.202986,0.243872,0.197785,0.329793,0.22912,0.181785,0.268746,0.162308,0.173969,0.184189,0.190047,0.188004,441,439,407,416,444,329,369,388,436,387,399,226,363,432,344,468,468,444,437,428
562,1000,749.667,0.175219,0.188285,0.185344,0.165153,0.157201,0.199096,0.206949,0.182987,0.170451,0.17967,0.182533,0.310971,0.213643,0.154201,0.240284,0.135513,0.143948,0.165032,0.15149,0.17606,590,530,541,562,599,488,481,536,609,527,551,295,514,576,455,607,634,621,635,593
1000,1778,1333.42,0.140426,0.162102,0.158614,0.157145,0.141589,0.204531,0.204021,0.164794,0.156072,0.167621,0.17486,0.255307,0.195132,0.142898,0.201883,0.119674,0.136488,0.143801,0.136635,0.158507,1153,1031,1067,1096,1134,923,927,1003,1136,1011,1010,592,942,1129,909,1212,1211,1164,1131,1115
1778,3162,2371.08,0.137946,0.144932,0.157987,0.150049,0.122853,0.17513,0.187082,0.153109,0.139541,0.166313,0.160194,0.232509,0.173138,0.128096,0.202461,0.11783,0.12007,0.132937,0.130518,0.148718,1974,1811,1809,1861,1976,1570,1581,1781,1979,1675,1753,1042,1631,1912,1531,2087,2110,1970,2005,1921
3162,5623,4216.62,0.121031,0.135023,0.142714,0.129657,0.115134,0.157677,0.164297,0.142016,0.133975,0.151672,0.140759,0.223056,0.164973,0.115026,0.183233,0.108164,0.116522,0.12124,0.11486,0.137037,3556,3224,3227,3292,3525,2856,2873,3159,3567,3013,3179,1846,2892,3480,2678,3720,3723,3569,3594,3450
5623,10000,7498.67,0.106819,0.130721,0.125486,0.123634,0.108388,0.160066,0.156993,0.130926,0.126936,0.131503,0.135105,0.201053,0.140146,0.112045,0.168975,0.102726,0.107871,0.110352,0.106342,0.128601,6229,5700,5746,5895,6179,4985,5071,5482,6171,5369,5654,3222,5174,6097,4783,6482,6529,6243,6286,6113
10000,17783,13335.3,0.215449,0.0853608,0.0508091,0.121913,0.089297,0.0299824,0.249118,0.242624,0.0486919,0.162274,0.102564,0.222341,0.0226021,0.0255273,0.146568,0.0423043,0.0749886,0.070339,0.075131,0.0689457,10,6,5,7,10,2,4,5,7,8,3,2,3,7,6,12,9,18,11,8
17783,31623,23714,0.0959494,0.0804679,0.120081,0.0543296,0.0961187,0.147909,0.111358,0.0772434,0.130569,0.092102,0.0855633,0.101845,0.113376,0.105245,0.111764,0.0893289,0.0961732,0.095123,0.11366,0.123673,41,40,41,40,39,39,39,41,42,37,42,22,41,41,32,38,42,32,38,40
31623,56234,42169.7,0.128342,0.111076,0.0818709,0.094841,0.0885928,0.139067,0.143727,0.102643,0.111724,0.088519,0.0970078,0.0877993,0.0915353,0.0742918,0.0974454,0.0605241,0.0693461,0.106043,0.107848,0.13344,51,46,50,49,52,41,41,46,53,43,44,24,41,48,40,53,54,55,52,48
56234,100000,74989.3,0.148214,0.09624,0.0979652,0.0578569,0.0664086,0.109572,0.151162,0.0824086,0.110626,0.0965089,0.0548947,0.11543,0.0784589,0.0745371,0.121461,0.086654,0.108389,0.113556,0.103801,0.0853765,98,88,91,91,91,76,80,84,95,84,88,52,80,95,67,105,102,89,95,92
100000,177828,133352,0.10172,0.0830835,0.0803383,0.0796545,0.0828633,0.109881,0.149044,0.0967324,0.0878184,0.0818715,0.0673091,0.0924142,0.0743372,0.114102,0.104954,0.0811379,0.079923,0.0847676,0.0896641,0.0844889,160,145,134,146,157,126,125,140,162,137,145,78,125,158,121,165,168,159,163,159
177828,316228,237137,0.100119,0.0868848,0.0820538,0.0868941,0.0896586,0.104814,0.121202,0.0796116,0.0708599,0.0880122,0.0670362,0.104198,0.0636401,0.0870909,0.131917,0.0871866,0.0829697,0.091774,0.0808304,0.0944796,242,219,213,225,243,189,198,213,242,214,220,126,202,235,177,250,258,237,250,240
316228,562341,421697,0.0769612,0.0818846,0.0816026,0.0747003,0.0861636,0.122569,0.0989617,0.093197,0.0721041,0.0938958,0.0739566,0.106244,0.091015,0.0861166,0.115381,0.0868514,0.0806945,0.0736182,0.0749278,0.0780825,324,287,286,299,318,253,270,287,328,276,290,164,269,314,237,333,340,314,331,311
