bin_lo,bin_hi,bin_mid,r2_Alsum18-2019,r2_Alsum59-2019,r2_Arlington-2019,r2_ColomaBonus4-2019,r2_ColomaBonus-2019,r2_ColomaLyons-2019,r2_XMASBig-2019,r2_OkrayGarrisonNE-2019,r2_OkrayRobacks-2019,r2_OkrayGrosheks40-2019,r2_OkrayPFWiper-2019,r2_PloverBrikalskiPats-2019,r2_PloverDaveBrSE-2019,r2_Wysocki1129-2019,r2_Wysocki438-2019,r2_Wysocki563-2019,r2_Wysocki570-2019,n_Alsum18-2019,n_Alsum59-2019,n_Arlington-2019,n_ColomaBonus4-2019,n_ColomaBonus-2019,n_ColomaLyons-2019,n_XMASBig-2019,n_OkrayGarrisonNE-2019,n_OkrayRobacks-2019,n_OkrayGrosheks40-2019,n_OkrayPFWiper-2019,n_PloverBrikalskiPats-2019,n_PloverDaveBrSE-2019,n_Wysocki1129-2019,n_Wysocki438-2019,n_Wysocki563-2019,n_Wysocki570-2019
1,2,1.41421,0.398219,0.402894,0.399041,0.385513,0.381843,0.387415,0.451404,0.383928,0.401458,0.407581,0.441744,0.389444,0.378672,0.38329,0.387355,0.401181,0.402645,3625358,3558128,3663832,3918258,4021065,3923057,2954818,3921183,3618301,3483839,3030965,3881231,4086052,3956945,3883223,3619647,3576876
2,3,2.44949,0.337816,0.342733,0.338983,0.327137,0.324298,0.329134,0.391619,0.325773,0.340961,0.346492,0.383323,0.330434,0.321412,0.324948,0.329371,0.340955,0.342179,3123723,3065130,3166345,3412883,3497990,3407473,2527872,3410123,3116632,2996469,2602399,3371331,3562694,3441799,3373502,3116099,3077810
3,6,4.24264,0.308007,0.312756,0.309422,0.299959,0.296898,0.301298,0.362439,0.298116,0.311135,0.316447,0.354611,0.302494,0.294136,0.297429,0.301384,0.311155,0.31229,9103043,8942000,9245505,9985252,10253947,9974777,7352704,9981952,9088554,8737018,7577902,9855029,10437993,10079472,9875241,9088374,8978267
6,10,7.74597,0.293065,0.298182,0.294716,0.285608,0.282629,0.287172,0.347459,0.283783,0.296283,0.301217,0.339698,0.288267,0.279765,0.283128,0.286995,0.296348,0.297624,12102273,11883498,12286926,13286209,13644802,13262462,9764606,13278463,12073231,11603065,10071842,13104850,13894649,13403274,13136404,12075827,11924828
10,18,13.4164,0.279979,0.285077,0.281396,0.271938,0.268933,0.273475,0.333498,0.270107,0.282912,0.287567,0.32541,0.274922,0.266279,0.269551,0.27349,0.28308,0.284345,23814507,23390770,24161513,26169812,26870513,26106872,19183296,26147540,23755203,22828864,19796270,25802859,27364822,26393482,25865760,23764357,23468513
18,32,24,0.26283,0.268118,0.264113,0.254191,0.251146,0.255918,0.315066,0.252379,0.26559,0.269671,0.306627,0.257469,0.248529,0.251874,0.255797,0.265852,0.267163,40986495,40243050,41583684,44983114,46210115,44898519,32932342,44967493,40875042,39280968,33973641,44386080,47061427,45383999,44482532,40908922,40381814
32,56,42.332,0.239133,0.244262,0.240052,0.229876,0.226851,0.231646,0.289082,0.228191,0.241318,0.244457,0.280383,0.233599,0.22451,0.227814,0.231382,0.241929,0.243119,68558099,67273271,69494715,74925537,76998590,74842897,54828599,74940274,68353887,65709281,56449091,74062520,78355171,75652658,74189134,68397924,67521434
56,100,74.8331,0.212419,0.216871,0.212687,0.20204,0.199225,0.203899,0.258898,0.200512,0.213725,0.215587,0.249678,0.206362,0.197074,0.200488,0.203563,0.214699,0.21571,121366993,118768885,122697821,130998565,134745339,131217118,96205379,131259584,120973847,116329100,98496407,130191295,136867708,132487466,130119113,120950185,119389528
100,178,133.417,0.186314,0.189292,0.185443,0.174504,0.172412,0.176444,0.228334,0.173157,0.186702,0.186817,0.218816,0.179451,0.170159,0.173687,0.176021,0.187896,0.188486,205208531,199726335,206180110,215783096,222407330,217372528,160243065,216896142,204520207,196943054,162015853,216754309,224904417,218958172,215619555,204132540,201376397
178,316,237.167,0.162501,0.163711,0.160525,0.151483,0.1501,0.153068,0.201645,0.150049,0.161845,0.160525,0.192664,0.155665,0.148326,0.15082,0.152073,0.162982,0.162845,339428148,328670696,338539462,348759198,360403793,352723605,262075794,351434939,337931387,326098797,262002137,352284128,363221972,354317577,349553276,336557681,331521675
316,562,421.417,0.141893,0.142514,0.14031,0.134157,0.132934,0.135262,0.18051,0.132548,0.140814,0.138168,0.172994,0.137159,0.131682,0.133501,0.13395,0.14204,0.141702,567767052,551319014,566485547,586497811,605925613,591941966,439889768,590436575,564537859,544843324,440975811,589243692,611446342,594674707,586076709,562515208,554232479
562,1000,749.667,0.125375,0.125406,0.124359,0.11994,0.118807,0.120731,0.163211,0.118312,0.124616,0.121609,0.157194,0.122072,0.117862,0.119179,0.119444,0.125726,0.125353,966188191,940400835,965229681,1002902483,1035754147,1010971513,749048116,1008715885,960572766,927007997,753134680,1005465075,1045679126,1016046556,1001254914,957781162,944796111
