site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2334155533,0.1964285714,36478988
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1717543334,0.1428571429,35975801
Alsum18-2019,Alsum18-2023,8,7,6,0.1871951155,0.1547619048,34106552
Alsum59-2019,Alsum59-2023,8,6,7,0.1874371148,0.1547619048,34896070
Arlington-2019,Arlington-2023,8,7,7,0.1658735891,0.1428571429,35375560
XMASBig-2019,XMASBig-2023,8,5,5,0.2203506837,0.2,46078616
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.167209125,0.1428571429,36008648
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.179390097,0.1428571429,36078340
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1663743663,0.1428571429,36854136
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1673059751,0.1428571429,36473533
Arlington-2015,Arlington-2023,16,4,7,0.2329480542,0.1964285714,36664234
C5-2015,C5-2023,16,7,7,0.164448256,0.1428571429,36154203
C44-L15-2015,C44-L15-2023,16,7,7,0.1647759378,0.1428571429,35539216
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1669313208,0.1428571429,35611230
H10-2015,H10-2023,16,7,7,0.1651942068,0.1428571429,35348830
H15-2015,H15-2023,16,8,6,0.178189825,0.1458333333,35153622
H41-2015,H41-2023,16,7,4,0.2316566461,0.1964285714,35717968
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2217498285,0.2,46772243
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1683615718,0.1428571429,36500610
