sample_id,year,site,e
S9,2015,Alsum25-2015,0.164345
S10,2015,Alsum25-2015,-0.096838
S11,2015,Alsum25-2015,0.261226
S12,2015,Alsum25-2015,0.244473
S13,2015,Alsum25-2015,0.276695
S14,2015,Alsum25-2015,0.224411
S15,2015,Alsum25-2015,0.268158
S16,2015,Alsum25-2015,0.236605
S17,2015,Alsum25-2015,0.249919
S18,2015,Alsum25-2015,0.227276
S19,2015,Alsum25-2015,0.227827
S37,2015,Alsum140-2015,0.273289
S38,2015,Alsum140-2015,0.300550
S39,2015,Alsum140-2015,0.261583
S40,2015,Alsum140-2015,0.224055
S41,2015,Alsum140-2015,0.314299
S42,2015,Alsum140-2015,0.321900
S43,2015,Alsum140-2015,0.306575
S53,2015,Arlington-2015,0.219620
S54,2015,Arlington-2015,0.223586
S55,2015,Arlington-2015,0.247214
S56,2015,Arlington-2015,0.242696
S74,2015,Arlington2015,0.196904
S75,2015,Arlington2015,0.234108
S85,2015,C5-2015,0.311576
S86,2015,C5-2015,0.242952
S87,2015,C5-2015,0.260444
S88,2015,C5-2015,0.216272
S89,2015,C5-2015,0.251292
S90,2015,C5-2015,0.228456
S91,2015,C5-2015,0.234232
S117,2015,C44-L15-2015,0.250165
S118,2015,C44-L15-2015,0.169345
S119,2015,C44-L15-2015,0.207802
S120,2015,C44-L15-2015,0.207224
S121,2015,C44-L15-2015,0.236403
S122,2015,C44-L15-2015,0.202239
S123,2015,C44-L15-2015,0.240353
S151,2015,GarrisonNE-2015,0.223047
S152,2015,GarrisonNE-2015,0.192729
S153,2015,GarrisonNE-2015,0.202992
S154,2015,GarrisonNE-2015,0.253866
S155,2015,GarrisonNE-2015,0.260129
S156,2015,GarrisonNE-2015,0.257769
S157,2015,GarrisonNE-2015,0.276869
S175,2015,Mortensen9-2015,0.301000
S176,2015,Mortensen9-2015,0.248611
S177,2015,Mortensen9-2015,0.367148
S178,2015,Mortensen9-2015,0.298523
S179,2015,Mortensen9-2015,0.261026
S181,2015,H10-2015,0.234419
S182,2015,H10-2015,0.339908
S183,2015,H10-2015,0.273236
S192,2015,H10-2015,0.249689
S193,2015,H10-2015,0.257165
S194,2015,H10-2015,0.204994
S195,2015,H10-2015,0.211651
S197,2015,H15-2015,0.253066
S198,2015,H15-2015,0.229518
S199,2015,H15-2015,0.218644
S200,2015,H15-2015,0.235895
S201,2015,H15-2015,0.275081
S202,2015,H15-2015,0.245299
S203,2015,H15-2015,0.232797
S204,2015,H15-2015,0.189502
S214,2015,H41-2015,0.236873
S215,2015,H41-2015,0.206669
S216,2015,H41-2015,0.207102
S217,2015,H41-2015,0.269371
S226,2015,H41-2015,0.282118
S227,2015,H41-2015,0.254102
S228,2015,H41-2015,0.202810
S230,2015,H53-2015,0.251350
S231,2015,H53-2015,0.235444
S232,2015,H53-2015,0.255861
S233,2015,H53-2015,0.222545
S234,2015,H53-2015,0.229033
S235,2015,H53-2015,0.221447
S236,2015,H53-2015,0.283977
S237,2015,H53-2015,0.211553
S238,2015,H53-2015,0.220644
S239,2015,H53-2015,0.218159
S240,2015,H53-2015,0.228636
S241,2015,H53-2015,0.239378
S242,2015,H53-2015,0.261715
S243,2015,H53-2015,0.225546
S244,2015,H53-2015,0.258048
S245,2015,H53-2015,0.186360
S246,2015,H53-2015,0.250756
S247,2015,H53-2015,0.223897
S248,2015,H53-2015,0.240739
S262,2015,H67-2015,0.259710
S263,2015,H67-2015,0.260678
S265,2015,Refuge-2015,0.230046
S266,2015,Refuge-2015,0.241892
S267,2015,Refuge-2015,0.231449
S268,2015,Refuge-2015,0.264628
S269,2015,Refuge-2015,0.280147
S270,2015,Refuge-2015,0.243275
S271,2015,Refuge-2015,0.244378
S272,2015,Refuge-2015,0.225709
S274,2015,Hesler-2015,0.247579
S275,2015,Hesler-2015,0.247810
S276,2015,Hesler-2015,0.256021
S277,2015,Hesler-2015,0.230908
S278,2015,Hesler-2015,0.247665
S279,2015,Hesler-2015,0.277613
S280,2015,Hesler-2015,0.230039
S282,2015,SilverValley-2015,0.279590
S283,2015,SilverValley-2015,0.266639
S284,2015,SilverValley-2015,0.266130
S285,2015,SilverValley-2015,0.189527
S286,2015,SilverValley-2015,0.265274
S320,2015,PFEast-2015,0.267541
S321,2015,PFEast-2015,0.260785
S322,2015,PFEast-2015,0.277395
S323,2015,PFEast-2015,0.255498
S324,2015,PFEast-2015,0.254374
S325,2015,PFEast-2015,0.258435
S326,2015,PFEast-2015,0.257014
S334,2015,LaszSE-O14-2015,0.232012
S335,2015,LaszSE-O14-2015,0.225575
S336,2015,LaszSE-O14-2015,0.235132
S337,2015,LaszSE-O14-2015,0.224773
S338,2015,LaszSE-O14-2015,0.303071
S346,2015,Paramount257-2015,0.213620
S347,2015,Paramount257-2015,0.210223
S348,2015,Paramount257-2015,0.218126
S349,2015,Paramount257-2015,0.245754
S350,2015,Paramount257-2015,0.205934
S351,2015,Paramount257-2015,0.248972
S352,2015,Paramount257-2015,0.272634
