bin_lo,bin_hi,bin_mid,r2_Alsum18-2019,r2_Alsum59-2019,r2_Arlington-2019,r2_ColomaBonus4-2019,r2_ColomaBonus-2019,r2_ColomaLyons-2019,r2_XMASBig-2019,r2_OkrayGarrisonNE-2019,r2_OkrayRobacks-2019,r2_OkrayGrosheks40-2019,r2_OkrayPFWiper-2019,r2_PloverBrikalskiPats-2019,r2_PloverDaveBrSE-2019,r2_Wysocki1129-2019,r2_Wysocki438-2019,r2_Wysocki563-2019,r2_Wysocki570-2019,n_Alsum18-2019,n_Alsum59-2019,n_Arlington-2019,n_ColomaBonus4-2019,n_ColomaBonus-2019,n_ColomaLyons-2019,n_XMASBig-2019,n_OkrayGarrisonNE-2019,n_OkrayRobacks-2019,n_OkrayGrosheks40-2019,n_OkrayPFWiper-2019,n_PloverBrikalskiPats-2019,n_PloverDaveBrSE-2019,n_Wysocki1129-2019,n_Wysocki438-2019,n_Wysocki563-2019,n_Wysocki570-2019
1,2,1.41421,0.40943,0.399434,0.40257,0.403087,0.384626,0.391441,0.464589,0.390011,0.412939,0.412346,0.450622,0.391736,0.385837,0.390974,0.391035,0.410479,0.410976,214844,220783,218134,220498,239769,235917,174902,233909,210765,212112,178653,234307,243682,235991,232021,209023,210981
2,3,2.44949,0.350459,0.341379,0.343891,0.344066,0.32721,0.333136,0.403177,0.333197,0.35339,0.352838,0.392847,0.33315,0.32913,0.334267,0.334168,0.349719,0.350766,184855,190612,189069,191408,208702,204972,149967,203228,181408,182318,153414,203314,212830,204634,201153,180052,181818
3,6,4.24264,0.319551,0.310698,0.314135,0.316656,0.300221,0.304943,0.374759,0.304585,0.322041,0.321389,0.36338,0.304135,0.300466,0.305921,0.305953,0.320322,0.321475,539714,554747,550846,560310,611301,599772,434658,595914,529575,532526,446396,594164,621533,599616,589462,524744,528761
6,10,7.74597,0.303376,0.295608,0.299044,0.301483,0.284944,0.29116,0.358133,0.289465,0.306546,0.305761,0.347677,0.290408,0.285104,0.290408,0.290935,0.304756,0.305797,716004,738094,732306,746354,814196,797518,577994,792926,703927,707046,593211,789300,828377,798344,785358,696715,703221
10,18,13.4164,0.290763,0.283349,0.285427,0.288458,0.272087,0.277108,0.344454,0.276452,0.293509,0.292342,0.333873,0.276509,0.2722,0.277167,0.278321,0.291623,0.293347,1408219,1449976,1438648,1467193,1602197,1568179,1133676,1559921,1382251,1390342,1164087,1554229,1630365,1568468,1541998,1369922,1381947
18,32,24,0.273223,0.266186,0.26831,0.270091,0.254206,0.259463,0.325506,0.259143,0.276119,0.274036,0.315009,0.259234,0.254546,0.259497,0.260175,0.274883,0.275526,2422549,2500448,2478697,2519109,2755550,2696889,1947191,2683514,2376591,2393578,1999611,2675855,2803013,2700356,2654221,2359748,2375953
32,56,42.332,0.248832,0.242445,0.244239,0.244597,0.23004,0.234639,0.298208,0.235063,0.250896,0.247956,0.288484,0.235798,0.230238,0.234982,0.235152,0.250505,0.25087,4052521,4184442,4145931,4198847,4601168,4500955,3241458,4476747,3979889,4006902,3327319,4471043,4673615,4509159,4432124,3947276,3980893
56,100,74.8331,0.221568,0.214948,0.216477,0.215453,0.202604,0.206797,0.267134,0.207891,0.222752,0.218377,0.25734,0.208662,0.202276,0.207428,0.207192,0.223154,0.223067,7170597,7400832,7325194,7335254,8067194,7904366,5690806,7857018,7043395,7101549,5818600,7877664,8182203,7911074,7795476,6984977,7041224
100,178,133.417,0.19526,0.187462,0.189027,0.186544,0.175857,0.179201,0.235567,0.180859,0.195399,0.189705,0.225828,0.181907,0.175231,0.180224,0.179491,0.195215,0.195411,12156213,12496474,12352539,12091112,13398298,13158911,9506113,13065767,11934993,12065989,9622587,13188591,13533483,13146126,12983916,11812778,11908808
178,316,237.167,0.171302,0.162214,0.164484,0.162767,0.153838,0.155955,0.208758,0.158167,0.170146,0.163617,0.199715,0.158441,0.15349,0.157349,0.15571,0.170022,0.169438,20181491,20694972,20401863,19600391,21878858,21505595,15612067,21320717,19801508,20073666,15675737,21630364,22046034,21441542,21195670,19562538,19699699
