bin_lo,bin_hi,bin_mid,r2_Alsum18-2023,r2_Alsum59-2023,r2_Arlington-2023,r2_C5-2023,r2_C44-L15-2023,r2_Aartz-2023,r2_XMASBig-2023,r2_GarrisonNE-2023,r2_H10-2023,r2_H15-2023,r2_H41-2023,r2_H66-2023,r2_Du-2023,r2_OkrayGrosheks40-2023,r2_LaszSE-O14-2023,r2_BrikalskiPats-2023,r2_DaveBrilowski-2023,r2_Wysocki1129-2023,r2_Wedekind_3-2023,r2_Airport04-2023,n_Alsum18-2023,n_Alsum59-2023,n_Arlington-2023,n_C5-2023,n_C44-L15-2023,n_Aartz-2023,n_XMASBig-2023,n_GarrisonNE-2023,n_H10-2023,n_H15-2023,n_H41-2023,n_H66-2023,n_Du-2023,n_OkrayGrosheks40-2023,n_LaszSE-O14-2023,n_BrikalskiPats-2023,n_DaveBrilowski-2023,n_Wysocki1129-2023,n_Wedekind_3-2023,n_Airport04-2023
1,2,1.41421,0.397122,0.368558,0.376623,0.375504,0.374809,0.443234,0.429661,0.378899,0.381456,0.381395,0.463787,0.433411,0.376275,0.363726,0.422606,0.366941,0.367857,0.368088,0.375782,0.395555,112230,129243,122970,123957,126856,92705,98951,122380,119329,120157,81424,82257,130813,132850,101220,129459,129793,127776,124684,112186
2,3,2.44949,0.339104,0.312227,0.319637,0.317467,0.316677,0.382547,0.372507,0.321076,0.32403,0.323054,0.398155,0.371328,0.318653,0.305981,0.366144,0.310196,0.312039,0.310549,0.318397,0.334536,97089,113361,106488,108056,110412,79634,84995,105935,103622,103777,68948,70110,114005,116078,87186,112616,113007,110778,108127,96795
3,6,4.24264,0.309981,0.283638,0.290433,0.289609,0.28786,0.354007,0.341758,0.292393,0.294895,0.295014,0.367089,0.338618,0.29124,0.28082,0.338522,0.281992,0.283898,0.283365,0.288783,0.306819,283686,330785,312881,317380,323672,231581,248132,310446,303601,305660,199883,202939,333034,340698,254717,330428,331292,325037,317671,282333
6,10,7.74597,0.29546,0.269633,0.276259,0.275731,0.273786,0.340645,0.328205,0.27926,0.281287,0.281966,0.352872,0.320063,0.275804,0.265924,0.32434,0.268686,0.270295,0.270718,0.274869,0.291593,376981,440649,416316,421672,430846,307814,329699,414194,403677,405838,264974,269522,443311,455001,338708,441012,440511,433696,422844,376206
10,18,13.4164,0.280188,0.254715,0.261904,0.260339,0.259344,0.324472,0.312552,0.264181,0.265849,0.266731,0.338389,0.302441,0.260886,0.25099,0.30877,0.254339,0.255428,0.256189,0.260262,0.27569,739747,866813,815427,827039,847783,601202,646059,812669,793064,798016,518730,528155,869357,891676,664332,864998,866331,851194,831096,736803
18,32,24,0.259699,0.235611,0.242351,0.241242,0.239395,0.303262,0.29126,0.24518,0.245923,0.247762,0.318087,0.277278,0.24146,0.231633,0.28781,0.235055,0.236735,0.236902,0.240592,0.255711,1271700,1491212,1404889,1425647,1457632,1034142,1109634,1397220,1365324,1373273,892390,905791,1494922,1535157,1142375,1489040,1491309,1464128,1431789,1269193
32,56,42.332,0.229795,0.208458,0.215778,0.213617,0.212513,0.27294,0.261815,0.21792,0.218636,0.220247,0.289629,0.241052,0.213635,0.203684,0.259118,0.208457,0.209616,0.210564,0.214018,0.227412,2117333,2486747,2343199,2376817,2429319,1716034,1842269,2329983,2277656,2288582,1488783,1504391,2490719,2553681,1895682,2481354,2486456,2441173,2385213,2114883
56,100,74.8331,0.197215,0.180394,0.186969,0.184368,0.183412,0.239807,0.228767,0.188263,0.189222,0.190682,0.258787,0.200821,0.185162,0.174531,0.22726,0.179976,0.180865,0.18212,0.184212,0.196886,3727605,4364803,4135300,4176818,4263780,3007736,3225429,4103820,4022178,4027435,2636253,2640882,4395305,4478295,3313270,4362486,4363442,4289909,4189374,3735603
100,178,133.417,0.16557,0.15366,0.159766,0.156674,0.155887,0.207593,0.197771,0.159755,0.161439,0.162289,0.228991,0.161947,0.16015,0.147533,0.196356,0.153659,0.153914,0.154807,0.155954,0.169141,6237678,7254871,6946010,6963254,7100197,5013436,5347944,6869977,6767158,6730055,4482614,4418441,7421948,7411146,5482623,7267071,7233636,7138279,6967739,6325335
178,316,237.167,0.137143,0.130714,0.136093,0.132804,0.132784,0.179676,0.171387,0.135757,0.136466,0.138522,0.201961,0.12857,0.138613,0.125861,0.170762,0.130839,0.130784,0.131528,0.132045,0.144063,10205037,11790036,11412315,11356598,11578879,8183930,8695272,11291500,11160898,11051933,7513645,7269837,12272604,12050593,8888979,11835682,11747595,11632755,11343726,10493195
