bin_lo,bin_hi,bin_mid,r2_Alsum25-2015,r2_Alsum140-2015,r2_Arlington-2015,r2_Arlington2015,r2_C5-2015,r2_C44-L15-2015,r2_GarrisonNE-2015,r2_Mortensen9-2015,r2_H10-2015,r2_H15-2015,r2_H41-2015,r2_H53-2015,r2_H67-2015,r2_Refuge-2015,r2_Hesler-2015,r2_SilverValley-2015,r2_PFEast-2015,r2_LaszSE-O14-2015,r2_Paramount257-2015,r2_BrilowskiHome-2015,r2_BrilowskiNE-2015,r2_Wysocki122-2015,r2_Paramount528-2015,r2_Paramount652-2015,n_Alsum25-2015,n_Alsum140-2015,n_Arlington-2015,n_Arlington2015,n_C5-2015,n_C44-L15-2015,n_GarrisonNE-2015,n_Mortensen9-2015,n_H10-2015,n_H15-2015,n_H41-2015,n_H53-2015,n_H67-2015,n_Refuge-2015,n_Hesler-2015,n_SilverValley-2015,n_PFEast-2015,n_LaszSE-O14-2015,n_Paramount257-2015,n_BrilowskiHome-2015,n_BrilowskiNE-2015,n_Wysocki122-2015,n_Paramount528-2015,n_Paramount652-2015
1,2,1.41421,0.441815,0.382547,0.509345,0.710017,0.383978,0.389346,0.393273,0.532611,0.389999,0.386287,0.40645,0.35558,0.713974,0.377775,0.388173,0.46074,0.373437,0.431595,0.376079,0.379778,0.378238,0.381017,0.377928,0.394142,183989,267343,155912,78311,269382,262594,257842,138744,259962,257537,235558,276680,78882,275149,263602,187355,282348,217447,282492,275507,279157,276161,284644,251831
2,3,2.44949,0.377745,0.324599,0.448785,0.664368,0.326974,0.329921,0.334293,0.476587,0.332391,0.325249,0.344714,0.295436,0.672023,0.319632,0.330255,0.400643,0.315625,0.375668,0.318381,0.323751,0.321383,0.324386,0.321029,0.333664,156271,233619,132016,63715,234790,228274,223588,116374,226480,222632,202547,239974,64385,238433,229726,159270,247195,187831,247110,240061,244389,241415,248171,217163
3,6,4.24264,0.34621,0.297727,0.419002,0.641021,0.298965,0.301607,0.305067,0.445861,0.304673,0.295849,0.313664,0.265057,0.644076,0.290708,0.302574,0.370948,0.288673,0.346421,0.291642,0.296229,0.294061,0.297413,0.292714,0.304908,452768,683719,380209,180682,687464,666976,653484,336170,661316,650487,589516,701490,183544,697016,672386,462250,723093,548715,722886,701213,716076,706034,727536,635148
6,10,7.74597,0.328549,0.283751,0.404209,0.627069,0.28564,0.287518,0.290137,0.429141,0.290227,0.281213,0.299748,0.2507,0.633301,0.276577,0.288489,0.355444,0.274833,0.331846,0.278096,0.282045,0.280604,0.283507,0.278988,0.290276,600648,910651,503904,238055,914202,885241,867412,443921,879287,863013,782293,932614,242375,926413,892689,612469,961360,730066,961053,933495,952318,938062,964856,843236
10,18,13.4164,0.312972,0.270805,0.390639,0.615377,0.272841,0.274415,0.277796,0.415853,0.27815,0.268846,0.287059,0.237129,0.621224,0.263783,0.275326,0.342055,0.262186,0.317884,0.264928,0.269376,0.267997,0.270225,0.265683,0.277929,1183425,1796937,990422,463000,1803876,1748102,1713871,874773,1735496,1704903,1543748,1843602,471782,1829967,1761714,1206158,1898058,1438063,1898135,1843766,1879546,1853570,1906802,1662389
18,32,24,0.290955,0.252623,0.372632,0.597951,0.255407,0.257355,0.260741,0.394804,0.260864,0.252086,0.270214,0.219074,0.603891,0.247167,0.258048,0.324419,0.244888,0.299886,0.248184,0.252269,0.250528,0.253,0.248684,0.261331,2029080,3087988,1697806,786750,3100972,3006673,2947914,1493864,2982634,2934922,2658379,3175902,800080,3147429,3030386,2072304,3261512,2465919,3260872,3170924,3228442,3182872,3277349,2861741
32,56,42.332,0.259587,0.227919,0.346316,0.572103,0.231164,0.233674,0.236563,0.36397,0.236459,0.228547,0.245627,0.193543,0.577152,0.223956,0.233927,0.299162,0.221494,0.274606,0.224868,0.228627,0.226744,0.228717,0.225339,0.237805,3388071,5136989,2827258,1297606,5170929,5028360,4930507,2481416,4980783,4919691,4454883,5323858,1314894,5274204,5055071,3457216,5449461,4107588,5440729,5291550,5389199,5306459,5482695,4792851
56,100,74.8331,0.222306,0.199146,0.314309,0.540136,0.202799,0.206162,0.209023,0.326611,0.208371,0.201001,0.217469,0.164717,0.54366,0.197074,0.205968,0.268684,0.194067,0.244743,0.197498,0.201087,0.199293,0.200785,0.199194,0.210457,5962745,8977237,4975756,2247728,9058126,8881084,8703980,4341014,8751614,8737352,7912703,9424586,2262773,9334369,8883645,6106797,9552470,7172371,9533728,9294266,9431289,9297591,9660318,8478497
100,178,133.417,0.183728,0.169896,0.281739,0.504327,0.174633,0.178955,0.181608,0.285379,0.17979,0.173619,0.189642,0.136195,0.5072,0.170263,0.177588,0.238208,0.166961,0.214219,0.170507,0.173912,0.171717,0.172668,0.173694,0.182925,10014632,14768815,8388860,3738208,14991005,14983548,14665667,7260212,14600450,14919293,13497514,15926639,3693410,15800417,14798554,10314471,15827199,11824626,15780273,15477600,15616182,15391919,16219251,14358749
178,316,237.167,0.148556,0.145549,0.25144,0.468372,0.149517,0.154085,0.1563,0.245093,0.154054,0.149416,0.164505,0.110994,0.471197,0.145175,0.152147,0.208456,0.142969,0.187552,0.146929,0.14954,0.147681,0.147908,0.151081,0.156749,16455188,23903355,13839612,6059311,24235708,24694377,24142063,11829895,23807415,25023384,22656980,26448660,5882076,26103415,24087662,17027579,25630032,19098620,25528614,25113439,25233919,24904338,26633939,23712463
316,562,421.417,0.120487,0.127346,0.223674,0.434891,0.130441,0.13331,0.134976,0.20983,0.133357,0.127138,0.141534,0.0895664,0.440746,0.123792,0.132151,0.182303,0.12463,0.167219,0.128595,0.130584,0.129114,0.129168,0.131883,0.134216,27588597,40280969,22992457,9904529,40578915,41324428,40352003,19571871,39877395,42222221,38297178,44658913,9648628,43592668,40322863,28398261,43033122,31998622,42757000,41965593,42256109,41693879,44543288,39624312
