site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2404495961,0.1964285714,33525
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1738054683,0.1428571429,32650
Alsum18-2019,Alsum18-2023,8,7,6,0.19161742,0.1547619048,31705
Alsum59-2019,Alsum59-2023,8,6,7,0.1926002218,0.1547619048,31796
Arlington-2019,Arlington-2023,8,7,7,0.1885806924,0.1428571429,32707
XMASBig-2019,XMASBig-2023,8,5,5,0.2280291904,0.2,38154
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1753958593,0.1428571429,32370
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1898206862,0.1428571429,32549
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1705875355,0.1428571429,32666
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1838847518,0.1428571429,32730
Arlington-2015,Arlington-2023,16,4,7,0.2397593835,0.1964285714,33376
C5-2015,C5-2023,16,7,7,0.1890497961,0.1428571429,32676
C44-L15-2015,C44-L15-2023,16,7,7,0.1812760842,0.1428571429,32480
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1908302843,0.1428571429,32574
H10-2015,H10-2023,16,7,7,0.1698340801,0.1428571429,32925
H15-2015,H15-2023,16,8,6,0.1836963507,0.1458333333,32683
H41-2015,H41-2023,16,7,4,0.232177806,0.1964285714,33453
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2290632086,0.2,38395
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1723232119,0.1428571429,32579
