bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16
1,2,1.41421,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,0.0426095,0.0527066,,,0.192308,,0.0740741,0.020979,,0.0128205,0.0967078,1,0.429323,0.287574,,0.222222,0.371795,3,2,0,0,1,0,1,1,0,1,3,1,3,4,0,1,2
56,100,74.8331,0.248152,0.239591,0.233982,0.264515,0.23365,0.227089,0.305341,0.275646,0.242779,0.221239,0.346451,0.252245,0.238499,0.255956,0.279185,0.226756,0.257047,180,176,176,180,163,180,137,169,186,181,149,159,185,182,162,192,169
100,178,133.417,0.190809,0.193713,0.181154,0.161347,0.171013,0.196799,0.211497,0.187801,0.178268,0.17853,0.213596,0.184363,0.183479,0.159639,0.181997,0.172403,0.198224,163,166,158,187,168,160,138,177,190,159,148,173,172,168,168,171,162
178,316,237.167,0.153564,0.15861,0.159184,0.16803,0.151014,0.159017,0.196652,0.163066,0.171419,0.13448,0.175128,0.141557,0.159426,0.148114,0.151374,0.166805,0.164396,306,292,305,299,307,304,247,299,303,301,244,302,298,289,316,314,298
316,562,421.417,0.131385,0.131282,0.125815,0.116624,0.114943,0.131876,0.151059,0.12613,0.116832,0.119583,0.152451,0.116531,0.123117,0.113545,0.118107,0.129584,0.121557,578,566,564,598,612,587,476,617,582,622,478,595,624,608,570,611,585
562,1000,749.667,0.0970843,0.106927,0.102355,0.0931683,0.102638,0.106388,0.129917,0.102255,0.100709,0.0973667,0.137592,0.0978312,0.106386,0.103268,0.105706,0.10583,0.102342,1056,1037,1042,1125,1041,1060,861,1050,1097,1050,800,1048,1131,1089,1024,1108,1016
1000,1778,1333.42,0.0905043,0.103913,0.0910637,0.0858768,0.0878106,0.0977992,0.11818,0.0922539,0.0911359,0.091751,0.128559,0.0916734,0.0933766,0.0912306,0.0926994,0.0944978,0.0912682,1877,1853,1907,1970,1824,1953,1558,1931,1953,1943,1444,1846,1986,1998,1893,1977,1900
