year,site,ind_a,ind_b,n_hethet,n_opphom,n_het_a,n_het_b,n_snps
2015,Alsum25-2015,S9,S10,324609,54868,542258,721543,2183846
2015,Alsum25-2015,S9,S11,155771,160667,542258,475545,2183846
2015,Alsum25-2015,S9,S12,148905,166121,542258,463355,2183846
2015,Alsum25-2015,S9,S13,136657,192766,542258,447776,2183846
2015,Alsum25-2015,S9,S14,156241,167362,542258,504625,2183846
2015,Alsum25-2015,S9,S15,133481,185305,542258,450041,2183846
2015,Alsum25-2015,S9,S16,142351,179082,542258,479310,2183846
2015,Alsum25-2015,S9,S17,146925,179473,542258,488159,2183846
2015,Alsum25-2015,S9,S18,158112,163947,542258,502394,2183846
2015,Alsum25-2015,S9,S19,151680,177843,542258,485749,2183846
2015,Alsum25-2015,S10,S11,200453,123144,721543,475545,2183846
2015,Alsum25-2015,S10,S12,189768,127499,721543,463355,2183846
2015,Alsum25-2015,S10,S13,185156,135419,721543,447776,2183846
2015,Alsum25-2015,S10,S14,201747,126437,721543,504625,2183846
2015,Alsum25-2015,S10,S15,179333,138870,721543,450041,2183846
2015,Alsum25-2015,S10,S16,189944,133635,721543,479310,2183846
2015,Alsum25-2015,S10,S17,205671,128150,721543,488159,2183846
2015,Alsum25-2015,S10,S18,205543,121984,721543,502394,2183846
2015,Alsum25-2015,S10,S19,206993,127656,721543,485749,2183846
2015,Alsum25-2015,S11,S12,136509,178573,475545,463355,2183846
2015,Alsum25-2015,S11,S13,125668,187801,475545,447776,2183846
2015,Alsum25-2015,S11,S14,141905,181921,475545,504625,2183846
2015,Alsum25-2015,S11,S15,127380,176205,475545,450041,2183846
2015,Alsum25-2015,S11,S16,135217,170204,475545,479310,2183846
2015,Alsum25-2015,S11,S17,136504,202096,475545,488159,2183846
2015,Alsum25-2015,S11,S18,150874,174599,475545,502394,2183846
2015,Alsum25-2015,S11,S19,132146,194398,475545,485749,2183846
2015,Alsum25-2015,S12,S13,127016,173934,463355,447776,2183846
2015,Alsum25-2015,S12,S14,141495,170369,463355,504625,2183846
2015,Alsum25-2015,S12,S15,135945,173727,463355,450041,2183846
2015,Alsum25-2015,S12,S16,144152,167514,463355,479310,2183846
2015,Alsum25-2015,S12,S17,124294,209911,463355,488159,2183846
2015,Alsum25-2015,S12,S18,146228,156902,463355,502394,2183846
2015,Alsum25-2015,S12,S19,127219,191377,463355,485749,2183846
2015,Alsum25-2015,S13,S14,133142,186806,447776,504625,2183846
2015,Alsum25-2015,S13,S15,117920,189848,447776,450041,2183846
2015,Alsum25-2015,S13,S16,125133,182551,447776,479310,2183846
2015,Alsum25-2015,S13,S17,130114,199390,447776,488159,2183846
2015,Alsum25-2015,S13,S18,128006,182411,447776,502394,2183846
2015,Alsum25-2015,S13,S19,128132,196255,447776,485749,2183846
2015,Alsum25-2015,S14,S15,143257,165667,504625,450041,2183846
2015,Alsum25-2015,S14,S16,152897,158920,504625,479310,2183846
2015,Alsum25-2015,S14,S17,144582,196046,504625,488159,2183846
2015,Alsum25-2015,S14,S18,150687,168897,504625,502394,2183846
2015,Alsum25-2015,S14,S19,147252,179296,504625,485749,2183846
2015,Alsum25-2015,S15,S16,343810,20922,450041,479310,2183846
2015,Alsum25-2015,S15,S17,124998,206541,450041,488159,2183846
2015,Alsum25-2015,S15,S18,136132,174535,450041,502394,2183846
2015,Alsum25-2015,S15,S19,123092,193650,450041,485749,2183846
2015,Alsum25-2015,S16,S17,134213,198779,479310,488159,2183846
2015,Alsum25-2015,S16,S18,145058,168850,479310,502394,2183846
2015,Alsum25-2015,S16,S19,130832,187323,479310,485749,2183846
2015,Alsum25-2015,S17,S18,140973,184423,488159,502394,2183846
2015,Alsum25-2015,S17,S19,161160,159274,488159,485749,2183846
2015,Alsum25-2015,S18,S19,137243,182535,502394,485749,2183846
2015,Alsum140-2015,S37,S38,114855,219545,452944,433567,2183846
2015,Alsum140-2015,S37,S39,123736,219834,452944,468908,2183846
2015,Alsum140-2015,S37,S40,141717,192131,452944,497862,2183846
2015,Alsum140-2015,S37,S41,120215,217785,452944,451079,2183846
2015,Alsum140-2015,S37,S42,115281,224823,452944,428332,2183846
