ind_a,ind_b,site_a,site_b,within_site,n_hethet,n_opphom,n_het_a,n_het_b,kinship,degree
S9,S10,Alsum25-2015,Alsum25-2015,1,4903761,1018314,8489328,11560220,0.143002,2nd
S9,S11,Alsum25-2015,Alsum25-2015,1,2193168,3214686,8489328,7321929,-0.267923,unrelated
S9,S12,Alsum25-2015,Alsum25-2015,1,2220260,3160267,8489328,7617550,-0.254567,unrelated
S9,S13,Alsum25-2015,Alsum25-2015,1,2129956,3277349,8489328,7164600,-0.282660,unrelated
S9,S14,Alsum25-2015,Alsum25-2015,1,2324046,3217728,8489328,7906656,-0.250757,unrelated
S9,S15,Alsum25-2015,Alsum25-2015,1,2192868,3173701,8489328,7351508,-0.262267,unrelated
S9,S16,Alsum25-2015,Alsum25-2015,1,2320290,3090986,8489328,7793150,-0.237168,unrelated
S9,S17,Alsum25-2015,Alsum25-2015,1,2241806,3128172,8489328,7487532,-0.251272,unrelated
S9,S18,Alsum25-2015,Alsum25-2015,1,2260136,3190697,8489328,7824677,-0.252621,unrelated
S9,S19,Alsum25-2015,Alsum25-2015,1,2347050,3048660,8489328,7660945,-0.232211,unrelated
S9,S37,Alsum25-2015,Alsum140-2015,0,2225389,3196457,8489328,7299241,-0.263958,unrelated
S9,S38,Alsum25-2015,Alsum140-2015,0,2056730,3275207,8489328,6920024,-0.291621,unrelated
S9,S39,Alsum25-2015,Alsum140-2015,0,2218304,3218643,8489328,7372958,-0.265976,unrelated
S9,S40,Alsum25-2015,Alsum140-2015,0,2323018,3154209,8489328,7915792,-0.242936,unrelated
S9,S41,Alsum25-2015,Alsum140-2015,0,2047152,3417117,8489328,6877714,-0.311516,unrelated
S9,S42,Alsum25-2015,Alsum140-2015,0,2031082,3321962,8489328,6719892,-0.303292,unrelated
S9,S43,Alsum25-2015,Alsum140-2015,0,2068774,3316480,8489328,6912006,-0.296350,unrelated
S9,S53,Alsum25-2015,Arlington-2015,0,2299828,3140319,8489328,7701814,-0.245863,unrelated
S9,S54,Alsum25-2015,Arlington-2015,0,2247801,3251288,8489328,7778154,-0.261551,unrelated
S9,S55,Alsum25-2015,Arlington-2015,0,2201433,3185914,8489328,7402919,-0.262417,unrelated
S9,S56,Alsum25-2015,Arlington-2015,0,2160871,3189128,8489328,7434678,-0.264844,unrelated
S9,S74,Alsum25-2015,Arlington2015,0,2336601,3052447,8489328,8006837,-0.228434,unrelated
S9,S75,Alsum25-2015,Arlington2015,0,2279557,3050108,8489328,7516784,-0.238700,unrelated
S9,S85,Alsum25-2015,C5-2015,0,2097320,3542035,8489328,7097227,-0.319939,unrelated
S9,S86,Alsum25-2015,C5-2015,0,2265488,3140038,8489328,7494073,-0.251172,unrelated
S9,S87,Alsum25-2015,C5-2015,0,2212684,3226030,8489328,7283588,-0.268776,unrelated
S9,S88,Alsum25-2015,C5-2015,0,2347711,3090806,8489328,7883225,-0.234166,unrelated
S9,S89,Alsum25-2015,C5-2015,0,2286218,3124710,8489328,7394994,-0.249504,unrelated
S9,S90,Alsum25-2015,C5-2015,0,2303972,3179996,8489328,7741603,-0.249894,unrelated
S9,S91,Alsum25-2015,C5-2015,0,2274253,3079301,8489328,7589299,-0.241585,unrelated
S9,S117,Alsum25-2015,C44-L15-2015,0,2225512,3138297,8489328,7324782,-0.256169,unrelated
S9,S118,Alsum25-2015,C44-L15-2015,0,2502154,2927166,8489328,8283819,-0.199854,unrelated
S9,S119,Alsum25-2015,C44-L15-2015,0,2346663,3140726,8489328,7940068,-0.239497,unrelated
S9,S120,Alsum25-2015,C44-L15-2015,0,2368089,3075518,8489328,7901213,-0.230801,unrelated
S9,S121,Alsum25-2015,C44-L15-2015,0,2274863,3031752,8489328,7463680,-0.237488,unrelated
S9,S122,Alsum25-2015,C44-L15-2015,0,2404693,2957054,8489328,7860977,-0.214639,unrelated
S9,S123,Alsum25-2015,C44-L15-2015,0,2200685,3138508,8489328,7360874,-0.257178,unrelated
S9,S151,Alsum25-2015,GarrisonNE-2015,0,2267289,3175433,8489328,7696854,-0.252288,unrelated
S9,S152,Alsum25-2015,GarrisonNE-2015,0,2421224,2998632,8489328,8061099,-0.216069,unrelated
S9,S153,Alsum25-2015,GarrisonNE-2015,0,2353287,3038899,8489328,7970524,-0.226279,unrelated
S9,S154,Alsum25-2015,GarrisonNE-2015,0,2232002,3101682,8489328,7331521,-0.251021,unrelated
S9,S155,Alsum25-2015,GarrisonNE-2015,0,2207921,3148073,8489328,7351334,-0.258084,unrelated
S9,S156,Alsum25-2015,GarrisonNE-2015,0,2183515,3112097,8489328,7239072,-0.256903,unrelated
S9,S157,Alsum25-2015,GarrisonNE-2015,0,2153323,3320830,8489328,7165975,-0.286698,unrelated
S9,S175,Alsum25-2015,Mortensen9-2015,0,2107742,3442108,8489328,7096451,-0.306464,unrelated
S9,S176,Alsum25-2015,Mortensen9-2015,0,2153425,3110805,8489328,7379261,-0.256367,unrelated
S9,S177,Alsum25-2015,Mortensen9-2015,0,1860041,3677036,8489328,6296275,-0.371580,unrelated
S9,S178,Alsum25-2015,Mortensen9-2015,0,2079922,3405582,8489328,7041776,-0.304630,unrelated
S9,S179,Alsum25-2015,Mortensen9-2015,0,2138073,3183539,8489328,7300271,-0.267835,unrelated
S9,S181,Alsum25-2015,H10-2015,0,2264157,3157779,8489328,7660992,-0.250856,unrelated
S9,S182,Alsum25-2015,H10-2015,0,1812956,3432797,8489328,6329443,-0.340962,unrelated
S9,S183,Alsum25-2015,H10-2015,0,2132321,3174434,8489328,7069990,-0.270998,unrelated
S9,S192,Alsum25-2015,H10-2015,0,2256386,3217679,8489328,7448988,-0.262197,unrelated
S9,S193,Alsum25-2015,H10-2015,0,2142185,3258519,8489328,7282196,-0.277389,unrelated
S9,S194,Alsum25-2015,H10-2015,0,2433420,3008494,8489328,8062246,-0.216509,unrelated
S9,S195,Alsum25-2015,H10-2015,0,2376587,3129932,8489328,8010689,-0.235350,unrelated
S9,S197,Alsum25-2015,H15-2015,0,2187384,3132405,8489328,7262131,-0.258860,unrelated
S9,S198,Alsum25-2015,H15-2015,0,2282753,3045657,8489328,7532775,-0.237707,unrelated
S9,S199,Alsum25-2015,H15-2015,0,2301878,3072914,8489328,7749026,-0.236720,unrelated
