bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,r2_17,r2_18,r2_19,r2_20,r2_21,r2_22,r2_23,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23
1,2,1.41421,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,0.245519,0.244637,0.253061,0.625731,0.264236,0.245326,0.295868,0.274313,0.267005,0.206234,0.208595,0.207449,0.47343,0.204287,0.219085,0.25097,0.218627,0.199828,0.222165,0.245694,0.293791,0.242171,0.271641,0.272788,42,54,41,19,40,58,42,44,57,54,54,51,23,60,61,51,46,44,48,53,52,54,53,40
100,178,133.417,0.236909,0.19441,0.281452,0.512133,0.261088,0.20436,0.220816,0.268041,0.237711,0.187467,0.234671,0.187258,0.497136,0.2034,0.213026,0.264442,0.222373,0.277633,0.201109,0.200475,0.207419,0.226535,0.227261,0.226273,163,245,162,87,215,226,239,193,249,257,229,230,97,272,239,180,227,175,239,254,244,239,220,202
178,316,237.167,0.156874,0.156482,0.234642,0.392082,0.184354,0.171192,0.176857,0.213177,0.172568,0.136832,0.156691,0.126206,0.478152,0.120977,0.144535,0.186187,0.141082,0.193495,0.172999,0.151477,0.164766,0.163907,0.139078,0.160352,193,285,171,87,255,273,278,224,302,298,300,265,89,339,275,224,260,212,298,309,277,251,276,242
316,562,421.417,0.136283,0.12557,0.176406,0.380364,0.160157,0.125232,0.129897,0.175258,0.117274,0.114978,0.129973,0.0937795,0.40404,0.0995555,0.121805,0.159467,0.125339,0.142222,0.141434,0.107174,0.116493,0.122512,0.147538,0.162422,337,555,362,189,482,558,548,458,609,578,578,572,187,671,536,448,518,461,542,539,549,535,530,478
562,1000,749.667,0.102952,0.118351,0.184836,0.373092,0.145805,0.10176,0.116706,0.170976,0.109306,0.0963749,0.111357,0.0723731,0.374915,0.0961313,0.105697,0.150285,0.104551,0.139515,0.124674,0.110387,0.108388,0.110718,0.127513,0.133457,583,918,614,313,822,918,935,777,1015,993,945,932,326,1116,1013,739,927,736,921,968,918,911,905,793
1000,1778,1333.42,0.0849894,0.104802,0.16702,0.337988,0.123398,0.103816,0.105352,0.147606,0.100935,0.0880305,0.101345,0.0575087,0.331594,0.0791976,0.0989575,0.142314,0.0955288,0.137139,0.114234,0.0982911,0.108314,0.101399,0.1048,0.120416,1121,1712,1146,549,1471,1696,1679,1389,1854,1816,1761,1712,575,2048,1827,1391,1701,1367,1668,1766,1717,1667,1616,1487
1778,3162,2371.08,0.0672365,0.0969405,0.158093,0.334386,0.124099,0.0888681,0.0932967,0.136871,0.0904152,0.0810663,0.0906433,0.0446144,0.335243,0.0752256,0.0932723,0.126314,0.0869857,0.121808,0.0969308,0.084939,0.0933707,0.0887765,0.0968143,0.104409,1960,3066,2054,950,2690,2975,3081,2468,3278,3248,3066,3042,989,3568,3166,2425,3024,2423,2992,3110,2939,3002,2860,2606
