bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16
1,2,1.41421,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,178,133.417,0.166347,0.310392,0.247867,0.132743,0.114993,0.118592,0.0967719,0.164989,0.101139,0.133484,0.165916,0.180165,0.0978997,0.092393,0.0823499,0.0984162,0.162129,12,11,19,23,23,22,20,20,22,22,19,23,24,21,25,18,21
178,316,237.167,0.228742,0.237705,0.225296,0.160271,0.143305,0.131586,0.166852,0.157655,0.146515,0.162467,0.184803,0.159699,0.187298,0.148196,0.1455,0.16846,0.129277,265,262,293,392,391,415,378,409,398,405,335,365,391,412,424,373,399
316,562,421.417,0.204021,0.203281,0.199053,0.154285,0.12776,0.123268,0.166087,0.145959,0.121922,0.142379,0.162986,0.140642,0.121714,0.123441,0.133141,0.151219,0.159822,308,273,321,414,412,437,370,418,419,419,354,398,402,415,442,392,426
562,1000,749.667,0.167112,0.186623,0.172829,0.128668,0.125566,0.124476,0.140248,0.131057,0.128016,0.12315,0.148688,0.14023,0.126272,0.110246,0.114667,0.141751,0.110828,586,578,620,843,819,854,750,788,818,836,703,720,792,823,816,765,810
1000,1778,1333.42,0.155892,0.159435,0.153477,0.117024,0.106183,0.110295,0.139573,0.123492,0.114231,0.117157,0.152097,0.135009,0.119509,0.105002,0.104061,0.128729,0.109483,1044,1009,1090,1474,1493,1505,1303,1447,1471,1513,1210,1349,1431,1475,1547,1395,1481
1778,3162,2371.08,0.137833,0.135621,0.133615,0.112157,0.106804,0.109553,0.128681,0.1165,0.105957,0.110239,0.142263,0.126953,0.108414,0.101879,0.102929,0.11676,0.104804,1800,1755,1944,2578,2643,2697,2336,2585,2636,2669,2239,2434,2566,2630,2684,2444,2690
