bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16
1,2,1.41421,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,0.0128205,0.138462,,,,,,,0.0925926,,,0.0925926,0.0454545,,,0.0307692,0.0307692,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
100,178,133.417,0.173902,0.206814,0.185935,0.190323,0.200823,0.224805,0.269127,0.217342,0.204442,0.202034,0.238781,0.217902,0.199689,0.19516,0.217648,0.180119,0.149661,215,207,202,231,207,201,177,199,231,201,173,220,226,235,201,222,229
178,316,237.167,0.194212,0.172419,0.19036,0.177467,0.161103,0.208422,0.235757,0.176548,0.170896,0.197198,0.203028,0.184456,0.206016,0.189002,0.192216,0.17011,0.188213,238,252,254,273,241,240,219,242,258,240,213,260,246,274,242,265,275
316,562,421.417,0.142533,0.139707,0.14184,0.14398,0.155682,0.146726,0.168887,0.141205,0.143127,0.147559,0.166167,0.125789,0.140979,0.125601,0.144972,0.136747,0.141241,531,495,538,538,505,515,461,538,545,505,446,574,534,568,491,550,579
562,1000,749.667,0.120697,0.138652,0.135769,0.122447,0.134407,0.117139,0.155972,0.130255,0.117523,0.134123,0.156304,0.108586,0.1222,0.111751,0.126749,0.117371,0.103198,849,817,867,887,824,800,714,829,907,825,707,875,854,902,801,870,915
1000,1778,1333.42,0.104595,0.111296,0.113812,0.100103,0.112455,0.109147,0.141209,0.118701,0.0976068,0.12668,0.143784,0.106476,0.112712,0.103542,0.118672,0.10323,0.103237,1629,1464,1598,1679,1550,1547,1363,1516,1694,1483,1300,1662,1618,1711,1459,1658,1688
1778,3162,2371.08,0.0983593,0.105031,0.108083,0.0936113,0.108127,0.102312,0.135132,0.106737,0.10086,0.120691,0.135289,0.09618,0.110345,0.0931513,0.107977,0.102862,0.0945077,2749,2685,2840,2901,2655,2673,2344,2753,2926,2664,2231,2895,2803,3047,2726,2978,2965
