bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16
1,2,1.41421,0.391656,0.382228,0.378001,0.353293,0.359006,0.371481,0.416157,0.346523,0.348346,0.360498,0.423268,0.352101,0.349756,0.353349,0.35681,0.356047,0.367346,1461,1523,1548,1643,1656,1591,1319,1699,1646,1659,1339,1691,1641,1641,1645,1621,1634
2,3,2.44949,0.354736,0.359711,0.352923,0.31508,0.317547,0.331755,0.389096,0.325607,0.332684,0.335408,0.395168,0.323186,0.333192,0.321805,0.323794,0.320467,0.324894,1400,1450,1390,1614,1603,1534,1270,1608,1561,1596,1324,1629,1591,1569,1617,1538,1643
3,6,4.24264,0.36489,0.356765,0.358033,0.317478,0.320612,0.331053,0.369282,0.314014,0.309725,0.320578,0.366793,0.316556,0.324838,0.323566,0.315758,0.323015,0.314279,4110,4225,4210,4728,4732,4617,3855,4828,4864,4739,3968,4802,4763,4760,4813,4749,4777
6,10,7.74597,0.329655,0.321077,0.320333,0.295782,0.297135,0.305914,0.348066,0.295142,0.291013,0.296104,0.350158,0.291191,0.296992,0.297122,0.293303,0.29935,0.300792,5472,5628,5531,6176,6304,6015,5058,6392,6352,6219,5143,6375,6363,6255,6399,6177,6246
10,18,13.4164,0.302274,0.295679,0.296023,0.265764,0.26744,0.274127,0.321313,0.260196,0.265073,0.268353,0.321639,0.265863,0.271869,0.266105,0.261699,0.26894,0.270091,10942,11220,11210,12373,12393,12007,9930,12621,12445,12357,10118,12455,12409,12383,12706,12279,12459
18,32,24,0.259434,0.251298,0.2537,0.223328,0.22719,0.235824,0.27083,0.223421,0.223711,0.228057,0.272877,0.225394,0.228055,0.227312,0.223252,0.227851,0.229984,18600,19043,19018,20929,21260,20372,17040,21674,21294,21066,17111,21569,21411,21061,21726,21144,21351
32,56,42.332,0.211303,0.210379,0.211534,0.184729,0.185701,0.196942,0.228142,0.183023,0.185059,0.18737,0.228449,0.18675,0.189235,0.187762,0.184801,0.190737,0.186397,31439,32065,31975,35529,35910,34704,28471,36504,35917,35528,29154,35893,35782,35616,36713,35241,36017
56,100,74.8331,0.180683,0.173792,0.177049,0.154442,0.152274,0.160203,0.193974,0.150325,0.150605,0.156207,0.192429,0.153696,0.155658,0.155002,0.151514,0.156855,0.151565,56134,58078,57319,63595,64605,62316,51275,65871,65020,63749,52007,64949,64168,64230,65482,63786,65224
100,178,133.417,0.148552,0.142812,0.145021,0.126433,0.122423,0.132694,0.162208,0.122352,0.123625,0.126904,0.161462,0.125705,0.128526,0.127027,0.122915,0.125706,0.124387,98059,101256,100440,111833,113243,108589,89278,114633,113928,111881,91018,113939,112451,112171,115247,111313,113656
178,316,237.167,0.128098,0.123991,0.126532,0.107384,0.106024,0.114157,0.142927,0.104621,0.105225,0.108414,0.141849,0.10746,0.108686,0.108425,0.104136,0.10764,0.106029,171781,178482,175962,197096,199411,191882,157442,202096,200275,196903,158560,200505,198758,197177,203324,196240,199705
316,562,421.417,0.113888,0.109844,0.11206,0.0955288,0.0939975,0.10282,0.12956,0.0925153,0.0947069,0.0973916,0.129801,0.0973693,0.0968564,0.0960297,0.0928209,0.0958228,0.0947071,304320,315586,312719,349009,351225,338406,276803,358139,354190,348729,282129,352984,351096,350115,359687,346930,352875
562,1000,749.667,0.103154,0.0995017,0.102474,0.0885937,0.0875751,0.09639,0.123986,0.0867229,0.0880138,0.0895968,0.12232,0.0907996,0.0907669,0.0903268,0.0869048,0.0891017,0.0878945,541367,561345,555463,621055,625679,604368,493439,637404,631325,620312,500965,628515,623861,622877,640043,616905,629982
1000,1778,1333.42,0.096636,0.0928795,0.0955073,0.0850517,0.0835243,0.0919572,0.119396,0.081784,0.0845521,0.086081,0.119124,0.086245,0.0869734,0.0863597,0.0830028,0.0850289,0.0848187,962656,996745,989373,1102825,1114067,1073816,876996,1133904,1122389,1102223,891739,1118051,1110233,1105884,1138272,1098052,1120898
1778,3162,2371.08,0.0900426,0.0861228,0.0903695,0.0828396,0.081598,0.0896907,0.117413,0.0801781,0.0831247,0.0839026,0.117461,0.084198,0.0849519,0.0846802,0.0809965,0.0827713,0.0828246,1704446,1766475,1750644,1958227,1973860,1903595,1554507,2008511,1989546,1954043,1578457,1982944,1969559,1960491,2018066,1946392,1985025
3162,5623,4216.62,0.085896,0.0826876,0.0858318,0.0818149,0.0799606,0.0877036,0.116801,0.0792225,0.0822124,0.0823068,0.116203,0.0823887,0.0834666,0.0831701,0.0802335,0.0811265,0.0817529,3025092,3134811,3106538,3474673,3501656,3381374,2763289,3565716,3528180,3471653,2805516,3519902,3494766,3480855,3578101,3454634,3521545
5623,10000,7498.67,0.0825425,0.0797834,0.0832061,0.0807359,0.0794171,0.0866968,0.115449,0.0784673,0.0811292,0.0811333,0.115189,0.0808677,0.08256,0.0817555,0.0790575,0.0803876,0.0809589,5367710,5559317,5510894,6152496,6213532,5989418,4891670,6328639,6256662,6155580,4968236,6244949,6190103,6170552,6348732,6115606,6240002
10000,17783,13335.3,0.082107,0.0789829,0.0827326,0.0801327,0.0797644,0.0843718,0.11684,0.0783873,0.0794099,0.0807477,0.115168,0.0800691,0.0809013,0.0829305,0.0777988,0.0787983,0.080126,16395,16993,16857,18764,19003,18310,14948,19363,19221,18911,15117,19015,18967,18938,19395,18716,19099
17783,31623,23714,0.0779909,0.0781643,0.0799864,0.0793953,0.0779806,0.0849565,0.111714,0.0781,0.0786538,0.0789267,0.11214,0.0783658,0.0792974,0.0798005,0.0788837,0.0790259,0.079359,26671,27619,27369,30543,30873,29771,24331,31434,31093,30619,24717,31004,30721,30657,31577,30493,30998
31623,56234,42169.7,0.0782642,0.0767737,0.0774809,0.0796817,0.0775003,0.0843308,0.112522,0.0765843,0.0782429,0.078986,0.113122,0.077285,0.0792127,0.0792163,0.0766604,0.0784007,0.0804056,46425,48076,47689,53257,53870,51823,42433,54921,54195,53420,43002,54033,53659,53473,54958,53024,54024
56234,100000,74989.3,0.0779223,0.0777545,0.0779827,0.0787703,0.0777648,0.0826482,0.111384,0.076879,0.0772305,0.0770264,0.111925,0.0766737,0.078824,0.0786303,0.0762792,0.0776952,0.0802018,79492,82169,81659,91144,92260,89009,72691,94122,92913,91627,73706,92688,91861,91533,94267,90859,92560
100000,177828,133352,0.0771168,0.0771283,0.0774485,0.0779891,0.0768965,0.0806153,0.112961,0.076906,0.0773985,0.0769218,0.111326,0.0768755,0.0780103,0.0778332,0.0775424,0.0762445,0.0802393,132083,136734,135578,151071,153220,147911,120519,156100,154044,152066,122459,154015,152438,151458,156267,150968,153615
177828,316228,237137,0.0767866,0.0762548,0.0769513,0.0772503,0.0768622,0.0790716,0.111759,0.0767515,0.0778861,0.0763924,0.110449,0.0766609,0.0774715,0.0775556,0.076143,0.07757,0.0785205,205045,211566,209018,233429,237904,228317,186250,241529,238330,235201,190018,238620,234943,234314,241589,233283,237605
316228,562341,421697,0.077218,0.0769622,0.0773895,0.0767689,0.0766475,0.0795101,0.110804,0.0771126,0.0779707,0.076861,0.111434,0.0766675,0.0770245,0.0777969,0.0770561,0.0767806,0.077455,272017,281014,278124,310609,314974,302474,247439,319706,316668,311990,251526,315927,312325,311505,320573,308744,315548
562341,1000000,749894,0.0762946,0.0767674,0.0771811,0.0769904,0.0774245,0.0821695,0.111228,0.0767683,0.0769041,0.0781271,0.111055,0.0769086,0.0775485,0.0775131,0.0770739,0.0767935,0.0770588,191780,200559,198620,223970,221120,214374,176360,225390,225755,219039,178916,222309,223826,223956,228441,220854,224224
