bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,r2_17,r2_18,r2_19,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19
1,2,1.41421,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,0.0925926,0.4,0.533333,0.316045,0.681818,0.0972222,0.428571,0.3,0.272727,0.166667,0.0609557,0.110294,0.151515,0.555556,0.166667,0.16821,0.533333,0.109091,0.4,0.00591716,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1
100,178,133.417,0.216308,0.231478,0.186527,0.183521,0.242754,0.209684,0.205801,0.218307,0.19927,0.205565,0.223236,0.177188,0.207503,0.175479,0.172631,0.195796,0.227921,0.166564,0.170217,0.181409,118,101,101,123,111,105,99,109,133,117,112,99,111,133,90,115,98,130,116,111
178,316,237.167,0.164481,0.189267,0.161201,0.162951,0.188803,0.228684,0.200026,0.175099,0.166611,0.186407,0.193335,0.168275,0.187737,0.156114,0.228278,0.171108,0.174823,0.153129,0.162903,0.165211,284,268,271,312,290,249,258,312,310,280,288,230,250,326,233,311,280,299,317,284
316,562,421.417,0.151239,0.161795,0.168474,0.15689,0.155277,0.181225,0.18964,0.148697,0.135048,0.192746,0.172498,0.136621,0.173277,0.139544,0.191943,0.149338,0.161125,0.152078,0.16996,0.173858,443,402,427,477,429,402,388,435,466,404,445,347,384,502,346,452,437,466,485,472
562,1000,749.667,0.147332,0.150391,0.153952,0.135562,0.15422,0.157778,0.153335,0.125698,0.121061,0.157111,0.137049,0.12764,0.147347,0.12912,0.155513,0.131,0.141262,0.13216,0.127377,0.116063,851,779,808,865,823,756,721,819,879,751,836,644,680,934,678,856,807,883,892,863
1000,1778,1333.42,0.118408,0.130152,0.116776,0.120811,0.120502,0.144977,0.134001,0.110849,0.110727,0.139636,0.129756,0.115689,0.141974,0.113368,0.144682,0.118787,0.111674,0.121192,0.121749,0.110089,1453,1292,1357,1532,1411,1264,1268,1483,1524,1282,1435,1109,1236,1570,1182,1504,1396,1518,1572,1455
1778,3162,2371.08,0.109871,0.122624,0.117849,0.10257,0.1094,0.130822,0.137241,0.0948847,0.0978733,0.127882,0.123783,0.0988238,0.141495,0.107027,0.142883,0.108538,0.111004,0.103025,0.113412,0.0999081,2575,2365,2451,2728,2534,2294,2232,2635,2793,2290,2596,2049,2237,2832,2150,2686,2571,2694,2819,2661
3162,5623,4216.62,0.100261,0.114824,0.106059,0.0924318,0.109643,0.126774,0.134205,0.0983664,0.0904895,0.114805,0.107777,0.0877715,0.121594,0.0897962,0.136658,0.10218,0.0977541,0.0960036,0.0979311,0.0945114,4533,4242,4272,4847,4411,4077,4007,4625,4768,4138,4548,3595,3971,5004,3646,4679,4440,4746,4948,4699
5623,10000,7498.67,0.101109,0.111282,0.099175,0.0911976,0.104612,0.126146,0.121765,0.0924539,0.0874941,0.115592,0.100229,0.0838769,0.117891,0.0952283,0.131109,0.0965179,0.0954311,0.0918774,0.0953835,0.0929593,8031,7456,7512,8397,7850,7153,7010,8241,8470,7133,8002,6298,6970,8855,6454,8390,7977,8413,8765,8322
10000,17783,13335.3,0.0997261,0.0996958,0.0694904,0.0619169,0.0961378,0.075092,0.0898201,0.0526283,0.0935303,0.0969697,0.0737796,0.0616826,0.0611632,0.0512031,0.117281,0.0729864,0.064729,0.0857121,0.0741059,0.0612938,29,18,24,28,25,16,23,27,31,23,25,9,16,35,15,32,24,29,31,30
17783,31623,23714,0.0927829,0.104997,0.0580824,0.0720125,0.0912902,0.11717,0.0998111,0.0986695,0.0708212,0.069442,0.0538509,0.0641839,0.0844111,0.116871,0.186799,0.0622392,0.0781611,0.0695437,0.11581,0.0338482,35,38,35,38,38,40,32,35,37,34,36,39,36,37,37,30,37,39,36,30
31623,56234,42169.7,0.10112,0.114657,0.124841,0.112234,0.104982,0.125309,0.139085,0.0705405,0.0689129,0.0731806,0.0860773,0.0429717,0.0894764,0.0772699,0.123016,0.0612245,0.113597,0.0777361,0.11298,0.0765431,75,68,70,81,72,65,69,84,82,68,79,55,60,85,58,89,75,80,89,86
56234,100000,74989.3,0.0944022,0.0880145,0.0689218,0.0737537,0.0642184,0.134607,0.128891,0.0850389,0.0626699,0.0902793,0.0845008,0.0605367,0.0797201,0.0756306,0.13676,0.0968403,0.0740921,0.0835321,0.0792559,0.0784218,122,120,114,134,115,114,107,118,129,103,119,100,109,135,97,118,120,124,130,129
100000,177828,133352,0.0894612,0.0898106,0.0840554,0.090941,0.097596,0.12746,0.103669,0.0844189,0.0779455,0.0994368,0.0859781,0.0608028,0.0924952,0.0692596,0.129011,0.07944,0.0676088,0.0890756,0.0844347,0.079495,205,183,190,213,197,185,174,207,210,183,198,159,173,218,171,213,199,213,220,199
177828,316228,237137,0.0810362,0.0790014,0.0817587,0.0865109,0.0763529,0.118806,0.112409,0.0749829,0.0813372,0.0828195,0.071512,0.0574123,0.0957069,0.0776825,0.106518,0.0841082,0.0774666,0.0743058,0.0766593,0.0761689,315,292,291,323,305,284,283,314,328,275,307,249,270,345,253,326,313,331,343,320
