bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,r2_17,r2_18,r2_19,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19
1,2,1.41421,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,0.258818,0.138817,0.206994,0.126078,0.149838,0.1712,0.212867,0.147573,0.208043,0.163861,0.13811,0.170075,0.115264,0.128583,0.209558,0.176842,0.117272,0.147656,0.162129,0.116727,31,32,32,42,35,24,25,46,34,40,38,26,42,37,35,34,38,32,28,35
100,178,133.417,0.175155,0.156657,0.156199,0.140974,0.121211,0.169854,0.159881,0.129111,0.0954724,0.132974,0.112044,0.138512,0.144264,0.121915,0.160588,0.119365,0.112654,0.116488,0.1235,0.138146,189,175,196,225,256,168,200,230,244,248,234,153,242,239,177,209,226,211,231,231
178,316,237.167,0.173513,0.141311,0.131068,0.119995,0.111372,0.147961,0.146865,0.119336,0.0954718,0.127774,0.1229,0.120046,0.102337,0.0918188,0.142416,0.101824,0.12293,0.110165,0.097154,0.104839,208,206,210,293,301,205,206,285,274,271,269,181,308,286,227,275,273,261,272,269
316,562,421.417,0.145643,0.132426,0.129526,0.0980256,0.100903,0.110753,0.134398,0.0942935,0.0968676,0.104764,0.0934189,0.0898952,0.102164,0.104634,0.143656,0.115801,0.102914,0.0980986,0.095314,0.104425,465,423,469,544,592,423,410,532,544,549,548,372,546,575,425,493,543,527,524,510
562,1000,749.667,0.125718,0.116693,0.116251,0.103711,0.0947755,0.124802,0.134692,0.083156,0.0850121,0.0915854,0.0939337,0.0769132,0.0929792,0.0941948,0.131949,0.0926349,0.0997775,0.095453,0.0894118,0.0980887,782,739,832,887,1017,769,753,913,939,992,930,656,965,966,770,908,915,923,918,907
1000,1778,1333.42,0.106791,0.10405,0.0987001,0.0908249,0.096789,0.126369,0.123428,0.0830465,0.0800788,0.0963952,0.0876004,0.0752868,0.0844997,0.08715,0.118337,0.0883141,0.0925283,0.0838255,0.095025,0.0878076,1354,1312,1443,1617,1772,1310,1323,1637,1706,1712,1754,1091,1702,1692,1327,1552,1660,1610,1595,1628
1778,3162,2371.08,0.0973178,0.102695,0.0917837,0.0908084,0.08973,0.117268,0.126953,0.0861639,0.0820994,0.0874603,0.0857664,0.070084,0.0871686,0.0829103,0.11805,0.0852892,0.0909265,0.0841567,0.0841947,0.0890043,2481,2319,2537,2962,3130,2361,2333,2943,2984,3088,3075,2005,3058,3052,2308,2731,3000,2856,2914,2855
3162,5623,4216.62,0.0921395,0.0988408,0.0895154,0.0853307,0.0862637,0.117182,0.127264,0.0830094,0.078778,0.086252,0.0836887,0.070571,0.0826214,0.0832312,0.117201,0.0850809,0.089926,0.0832894,0.0867223,0.087009,4330,4121,4549,5172,5542,4191,4140,5219,5267,5461,5396,3494,5456,5272,4080,4874,5232,5016,5173,5052
5623,10000,7498.67,0.0875509,0.088006,0.0845684,0.0836179,0.0835149,0.113967,0.123284,0.0788923,0.079342,0.0819988,0.0819647,0.0654968,0.0826764,0.0808013,0.11684,0.0832018,0.0863757,0.0810034,0.0827817,0.08653,7514,7320,7874,9254,9805,7422,7302,9315,9438,9723,9565,6332,9702,9457,7316,8707,9315,8870,9272,9212
10000,17783,13335.3,0.0949438,0.0746573,0.0588816,0.111789,0.0709424,0.0596858,0.18889,0.0726074,0.0710714,0.0563944,0.0670424,0.0360924,0.0709018,0.0722382,0.193261,0.085249,0.0663042,0.0931031,0.0776999,0.059508,23,23,28,40,49,22,19,42,36,41,39,12,40,39,22,32,37,35,39,34
17783,31623,23714,0.0999836,0.085743,0.0835332,0.100285,0.0847885,0.124902,0.0864634,0.071904,0.0704589,0.0807326,0.105348,0.0466525,0.109943,0.0525917,0.145787,0.0716083,0.0994161,0.0924554,0.0855869,0.0718154,37,36,38,43,39,37,37,41,40,45,41,38,40,44,37,37,41,39,39,43
31623,56234,42169.7,0.0743561,0.0649618,0.082372,0.102383,0.0499044,0.118645,0.107706,0.0814142,0.0690285,0.0719783,0.0788278,0.0547169,0.0703114,0.115744,0.123813,0.0646269,0.0886951,0.0994037,0.0693165,0.10464,76,68,76,81,81,65,67,80,88,85,86,55,87,82,64,81,84,81,85,83
56234,100000,74989.3,0.0723934,0.0871578,0.0767442,0.0862315,0.0814081,0.134866,0.102519,0.0948858,0.0790385,0.0836787,0.0680568,0.0470155,0.0730429,0.0668516,0.104102,0.0927248,0.0809285,0.0539597,0.0876155,0.0693306,112,112,120,146,154,118,110,141,140,144,147,104,146,143,112,123,136,135,135,127
100000,177828,133352,0.0844621,0.0684027,0.0826818,0.0640675,0.0920479,0.109008,0.097411,0.0795882,0.0792091,0.0731222,0.0813087,0.050548,0.0684784,0.0743739,0.103687,0.0723212,0.078868,0.0588989,0.0820524,0.0889267,199,184,200,224,237,179,179,227,231,234,232,150,238,223,175,215,227,225,229,227
177828,316228,237137,0.07028,0.0647788,0.0695977,0.0769269,0.0769643,0.104342,0.124302,0.0657206,0.0744168,0.0832601,0.0720912,0.0460258,0.0763576,0.0792286,0.0998315,0.0729954,0.0730531,0.0801837,0.076529,0.0671201,302,281,323,358,383,291,282,359,363,366,364,243,367,364,285,337,363,353,359,354
